Case_ID,amount,stackType,status,Time,Activity
PP8,20,nonreefer,complete,3/10/2016 13:32,D
PP8,20,nonreefer,complete,3/10/2016 14:40,E
PP8,20,nonreefer,complete,3/10/2016 15:48,F
PP8,20,nonreefer,complete,3/10/2016 16:56,H
PP9,15,nonreefer,incomplete,3/10/2016 18:04,A
PP9,15,nonreefer,incomplete,3/10/2016 19:12,C
PP9,15,nonreefer,incomplete,3/10/2016 20:20,D
PP9,15,nonreefer,incomplete,3/10/2016 21:28,E
PP9,15,nonreefer,incomplete,3/10/2016 22:36,G
PP9,15,nonreefer,incomplete,3/10/2016 23:44,H
PP10,3,nonreefer,complete,3/11/2016 0:52,A
PP10,3,nonreefer,complete,3/11/2016 2:00,C
PP10,3,nonreefer,complete,3/11/2016 3:08,D
PP10,3,nonreefer,complete,3/11/2016 4:16,E
PP10,3,nonreefer,complete,3/11/2016 5:24,F
PP10,3,nonreefer,complete,3/11/2016 6:32,H
PP11,15,reefer,incomplete,3/11/2016 7:40,A
PP11,15,reefer,incomplete,3/11/2016 8:48,C
PP11,15,reefer,incomplete,3/11/2016 9:56,D
PP11,15,reefer,incomplete,3/11/2016 11:04,E
PP11,15,reefer,incomplete,3/11/2016 12:12,G
PP11,15,reefer,incomplete,3/11/2016 13:20,H
PP12,8,nonreefer,incomplete,3/11/2016 14:28,A
PP12,8,nonreefer,incomplete,3/11/2016 15:36,B
PP12,8,nonreefer,incomplete,3/11/2016 16:44,D
PP12,8,nonreefer,incomplete,3/11/2016 17:52,E
PP12,8,nonreefer,incomplete,3/11/2016 19:00,F
PP12,8,nonreefer,incomplete,3/11/2016 20:08,H
PP13,3,reefer,incomplete,3/11/2016 21:16,A
PP13,3,reefer,incomplete,3/11/2016 22:24,B
PP13,3,reefer,incomplete,3/11/2016 23:32,D
PP13,3,reefer,incomplete,3/12/2016 0:40,E
PP13,3,reefer,incomplete,3/12/2016 1:48,F
PP13,3,reefer,incomplete,3/12/2016 2:56,H
PP14,11,reefer,complete,3/12/2016 4:04,A
PP14,11,reefer,complete,3/12/2016 5:12,C
PP14,11,reefer,complete,3/12/2016 6:20,D
PP14,11,reefer,complete,3/12/2016 7:28,E
PP14,11,reefer,complete,3/12/2016 8:36,G
PP14,11,reefer,complete,3/12/2016 9:44,H
PP15,9,reefer,complete,3/12/2016 10:52,A
PP15,9,reefer,complete,3/12/2016 12:00,C
PP15,9,reefer,complete,3/12/2016 13:08,D
PP15,9,reefer,complete,3/12/2016 14:16,E
PP15,9,reefer,complete,3/12/2016 15:24,G
PP15,9,reefer,complete,3/12/2016 16:32,H
PP16,8,reefer,complete,3/12/2016 17:40,A
PP16,8,reefer,complete,3/12/2016 18:48,C
PP16,8,reefer,complete,3/12/2016 19:56,D
PP16,8,reefer,complete,3/12/2016 21:04,E
PP16,8,reefer,complete,3/12/2016 22:12,G
PP16,8,reefer,complete,3/12/2016 23:20,H
PP17,18,reefer,complete,3/13/2016 0:28,A
PP17,18,reefer,complete,3/13/2016 1:36,B
PP17,18,reefer,complete,3/13/2016 2:44,D
PP17,18,reefer,complete,3/13/2016 3:52,E
PP17,18,reefer,complete,3/13/2016 5:00,F
PP17,18,reefer,complete,3/13/2016 6:08,H
PP18,4,reefer,incomplete,3/13/2016 7:16,A
PP18,4,reefer,incomplete,3/13/2016 8:24,B
PP18,4,reefer,incomplete,3/13/2016 9:32,D
PP18,4,reefer,incomplete,3/13/2016 10:40,E
PP18,4,reefer,incomplete,3/13/2016 11:48,F
PP18,4,reefer,incomplete,3/13/2016 12:56,H
PP19,26,reefer,incomplete,3/13/2016 14:04,A
PP19,26,reefer,incomplete,3/13/2016 15:12,C
PP19,26,reefer,incomplete,3/13/2016 16:20,D
PP19,26,reefer,incomplete,3/13/2016 17:28,E
PP19,26,reefer,incomplete,3/13/2016 18:36,G
PP19,26,reefer,incomplete,3/13/2016 19:44,H
PP20,13,reefer,incomplete,3/13/2016 20:52,A
PP20,13,reefer,incomplete,3/13/2016 22:00,C
PP20,13,reefer,incomplete,3/13/2016 23:08,D
PP20,13,reefer,incomplete,3/14/2016 0:16,E
PP20,13,reefer,incomplete,3/14/2016 1:24,F
PP20,13,reefer,incomplete,3/14/2016 2:32,H
PP21,38,nonreefer,complete,3/14/2016 3:40,A
PP21,38,nonreefer,complete,3/14/2016 4:48,C
PP21,38,nonreefer,complete,3/14/2016 5:56,D
PP21,38,nonreefer,complete,3/14/2016 7:04,E
PP21,38,nonreefer,complete,3/14/2016 8:12,G
PP21,38,nonreefer,complete,3/14/2016 9:20,H
PP22,14,reefer,complete,3/14/2016 10:28,A
PP22,14,reefer,complete,3/14/2016 11:36,B
PP22,14,reefer,complete,3/14/2016 12:44,D
PP22,14,reefer,complete,3/14/2016 13:52,E
PP22,14,reefer,complete,3/14/2016 15:00,F
PP22,14,reefer,complete,3/14/2016 16:08,H
PP23,32,nonreefer,incomplete,3/14/2016 17:16,A
PP23,32,nonreefer,incomplete,3/14/2016 18:24,C
PP23,32,nonreefer,incomplete,3/14/2016 19:32,D
PP23,32,nonreefer,incomplete,3/14/2016 20:40,E
PP23,32,nonreefer,incomplete,3/14/2016 21:48,G
PP23,32,nonreefer,incomplete,3/14/2016 22:56,H
PP24,34,reefer,complete,3/15/2016 0:04,A
PP24,34,reefer,complete,3/15/2016 1:12,B
PP24,34,reefer,complete,3/15/2016 2:20,D
PP24,34,reefer,complete,3/15/2016 3:28,E
PP24,34,reefer,complete,3/15/2016 4:36,F
PP24,34,reefer,complete,3/15/2016 5:44,H
PP25,6,nonreefer,complete,3/15/2016 6:52,A
PP25,6,nonreefer,complete,3/15/2016 8:00,C
PP25,6,nonreefer,complete,3/15/2016 9:08,D
PP25,6,nonreefer,complete,3/15/2016 10:16,E
PP25,6,nonreefer,complete,3/15/2016 11:24,G
PP25,6,nonreefer,complete,3/15/2016 12:32,H
PP26,6,reefer,incomplete,3/15/2016 13:40,A
PP26,6,reefer,incomplete,3/15/2016 14:48,B
PP26,6,reefer,incomplete,3/15/2016 15:56,D
PP26,6,reefer,incomplete,3/15/2016 17:04,E
PP26,6,reefer,incomplete,3/15/2016 18:12,F
PP26,6,reefer,incomplete,3/15/2016 19:20,H
PP27,4,nonreefer,complete,3/15/2016 20:28,A
PP27,4,nonreefer,complete,3/15/2016 21:36,C
PP27,4,nonreefer,complete,3/15/2016 22:44,D
PP27,4,nonreefer,complete,3/15/2016 23:52,E
PP27,4,nonreefer,complete,3/16/2016 1:00,G
PP27,4,nonreefer,complete,3/16/2016 2:08,H
PP28,25,reefer,complete,3/16/2016 3:16,A
PP28,25,reefer,complete,3/16/2016 4:24,B
PP28,25,reefer,complete,3/16/2016 5:32,D
PP28,25,reefer,complete,3/16/2016 6:40,E
PP28,25,reefer,complete,3/16/2016 7:48,F
PP28,25,reefer,complete,3/16/2016 8:56,H
PP29,39,reefer,complete,3/16/2016 10:04,A
PP29,39,reefer,complete,3/16/2016 11:12,C
PP29,39,reefer,complete,3/16/2016 12:20,D
PP29,39,reefer,complete,3/16/2016 13:28,E
PP29,39,reefer,complete,3/16/2016 14:36,F
PP29,39,reefer,complete,3/16/2016 15:44,H
PP30,12,nonreefer,incomplete,3/16/2016 16:52,A
PP30,12,nonreefer,incomplete,3/16/2016 18:00,C
PP30,12,nonreefer,incomplete,3/16/2016 19:08,D
PP30,12,nonreefer,incomplete,3/16/2016 20:16,E
PP30,12,nonreefer,incomplete,3/16/2016 21:24,G
PP30,12,nonreefer,incomplete,3/16/2016 22:32,H
PP31,16,reefer,incomplete,3/16/2016 23:40,A
PP31,16,reefer,incomplete,3/17/2016 0:48,C
PP31,16,reefer,incomplete,3/17/2016 1:56,D
PP31,16,reefer,incomplete,3/17/2016 3:04,E
PP31,16,reefer,incomplete,3/17/2016 4:12,G
PP31,16,reefer,incomplete,3/17/2016 5:20,H
PP32,6,reefer,incomplete,3/17/2016 6:28,A
PP32,6,reefer,incomplete,3/17/2016 7:36,C
PP32,6,reefer,incomplete,3/17/2016 8:44,D
PP32,6,reefer,incomplete,3/17/2016 9:52,E
PP32,6,reefer,incomplete,3/17/2016 11:00,G
PP32,6,reefer,incomplete,3/17/2016 12:08,H
PP33,10,nonreefer,complete,3/17/2016 13:16,A
PP33,10,nonreefer,complete,3/17/2016 14:24,C
PP33,10,nonreefer,complete,3/17/2016 15:32,D
PP33,10,nonreefer,complete,3/17/2016 16:40,E
PP33,10,nonreefer,complete,3/17/2016 17:48,G
PP33,10,nonreefer,complete,3/17/2016 18:56,H
PP34,12,nonreefer,incomplete,3/17/2016 20:04,A
PP34,12,nonreefer,incomplete,3/17/2016 21:12,C
PP34,12,nonreefer,incomplete,3/17/2016 22:20,D
PP34,12,nonreefer,incomplete,3/17/2016 23:28,E
PP34,12,nonreefer,incomplete,3/18/2016 0:36,G
PP34,12,nonreefer,incomplete,3/18/2016 1:44,H
PP35,17,nonreefer,complete,3/18/2016 2:52,A
PP35,17,nonreefer,complete,3/18/2016 4:00,C
PP35,17,nonreefer,complete,3/18/2016 5:08,D
PP35,17,nonreefer,complete,3/18/2016 6:16,E
PP35,17,nonreefer,complete,3/18/2016 7:24,F
PP35,17,nonreefer,complete,3/18/2016 8:32,H
PP36,14,nonreefer,incomplete,3/18/2016 9:40,A
PP36,14,nonreefer,incomplete,3/18/2016 10:48,B
PP36,14,nonreefer,incomplete,3/18/2016 11:56,D
PP36,14,nonreefer,incomplete,3/18/2016 13:04,E
PP36,14,nonreefer,incomplete,3/18/2016 14:12,G
PP36,14,nonreefer,incomplete,3/18/2016 15:20,H
PP37,29,nonreefer,complete,3/18/2016 16:28,A
PP37,29,nonreefer,complete,3/18/2016 17:36,C
PP37,29,nonreefer,complete,3/18/2016 18:44,D
PP37,29,nonreefer,complete,3/18/2016 19:52,E
PP37,29,nonreefer,complete,3/18/2016 21:00,F
PP37,29,nonreefer,complete,3/18/2016 22:08,H
PP38,2,reefer,incomplete,3/18/2016 23:16,A
PP38,2,reefer,incomplete,3/19/2016 0:24,C
PP38,2,reefer,incomplete,3/19/2016 1:32,D
PP38,2,reefer,incomplete,3/19/2016 2:40,E
PP38,2,reefer,incomplete,3/19/2016 3:48,G
PP38,2,reefer,incomplete,3/19/2016 4:56,H
PP39,38,nonreefer,incomplete,3/19/2016 6:04,A
PP39,38,nonreefer,incomplete,3/19/2016 7:12,C
PP39,38,nonreefer,incomplete,3/19/2016 8:20,D
PP39,38,nonreefer,incomplete,3/19/2016 9:28,E
PP39,38,nonreefer,incomplete,3/19/2016 10:36,F
PP39,38,nonreefer,incomplete,3/19/2016 11:44,H
PP40,33,reefer,complete,3/19/2016 12:52,A
PP40,33,reefer,complete,3/19/2016 14:00,C
PP40,33,reefer,complete,3/19/2016 15:08,D
PP40,33,reefer,complete,3/19/2016 16:16,E
PP40,33,reefer,complete,3/19/2016 17:24,F
PP40,33,reefer,complete,3/19/2016 18:32,H
PP41,37,reefer,complete,3/19/2016 19:40,A
PP41,37,reefer,complete,3/19/2016 20:48,B
PP41,37,reefer,complete,3/19/2016 21:56,D
PP41,37,reefer,complete,3/19/2016 23:04,E
PP41,37,reefer,complete,3/20/2016 0:12,F
PP41,37,reefer,complete,3/20/2016 1:20,H
PP42,2,reefer,incomplete,3/20/2016 2:28,A
PP42,2,reefer,incomplete,3/20/2016 3:36,B
PP42,2,reefer,incomplete,3/20/2016 4:44,D
PP42,2,reefer,incomplete,3/20/2016 5:52,E
PP42,2,reefer,incomplete,3/20/2016 7:00,F
PP42,2,reefer,incomplete,3/20/2016 8:08,H
PP43,33,nonreefer,incomplete,3/20/2016 9:16,A
PP43,33,nonreefer,incomplete,3/20/2016 10:24,C
PP43,33,nonreefer,incomplete,3/20/2016 11:32,D
PP43,33,nonreefer,incomplete,3/20/2016 12:40,E
PP43,33,nonreefer,incomplete,3/20/2016 13:48,F
PP43,33,nonreefer,incomplete,3/20/2016 14:56,H
PP44,17,nonreefer,complete,3/20/2016 16:04,A
PP44,17,nonreefer,complete,3/20/2016 17:12,C
PP44,17,nonreefer,complete,3/20/2016 18:20,D
PP44,17,nonreefer,complete,3/20/2016 19:28,E
PP44,17,nonreefer,complete,3/20/2016 20:36,G
PP44,17,nonreefer,complete,3/20/2016 21:44,H
PP45,8,nonreefer,incomplete,3/20/2016 22:52,A
PP45,8,nonreefer,incomplete,3/21/2016 0:00,B
PP45,8,nonreefer,incomplete,3/21/2016 1:08,D
PP45,8,nonreefer,incomplete,3/21/2016 2:16,E
PP45,8,nonreefer,incomplete,3/21/2016 3:24,F
PP45,8,nonreefer,incomplete,3/21/2016 4:32,H
PP46,16,reefer,complete,3/21/2016 5:40,A
PP46,16,reefer,complete,3/21/2016 6:48,B
PP46,16,reefer,complete,3/21/2016 7:56,D
PP46,16,reefer,complete,3/21/2016 9:04,E
PP46,16,reefer,complete,3/21/2016 10:12,F
PP46,16,reefer,complete,3/21/2016 11:20,H
PP47,2,nonreefer,complete,3/21/2016 12:28,A
PP47,2,nonreefer,complete,3/21/2016 13:36,C
PP47,2,nonreefer,complete,3/21/2016 14:44,D
PP47,2,nonreefer,complete,3/21/2016 15:52,E
PP47,2,nonreefer,complete,3/21/2016 17:00,G
PP47,2,nonreefer,complete,3/21/2016 18:08,H
PP48,38,nonreefer,complete,3/21/2016 19:16,A
PP48,38,nonreefer,complete,3/21/2016 20:24,C
PP48,38,nonreefer,complete,3/21/2016 21:32,D
PP48,38,nonreefer,complete,3/21/2016 22:40,E
PP48,38,nonreefer,complete,3/21/2016 23:48,G
PP48,38,nonreefer,complete,3/22/2016 0:56,H
PP49,38,reefer,complete,3/22/2016 2:04,A
PP49,38,reefer,complete,3/22/2016 3:12,B
PP49,38,reefer,complete,3/22/2016 4:20,D
PP49,38,reefer,complete,3/22/2016 5:28,E
PP49,38,reefer,complete,3/22/2016 6:36,F
PP49,38,reefer,complete,3/22/2016 7:44,H
PP50,37,nonreefer,incomplete,3/22/2016 8:52,A
PP50,37,nonreefer,incomplete,3/22/2016 10:00,C
PP50,37,nonreefer,incomplete,3/22/2016 11:08,D
PP50,37,nonreefer,incomplete,3/22/2016 12:16,E
PP50,37,nonreefer,incomplete,3/22/2016 13:24,G
PP50,37,nonreefer,incomplete,3/22/2016 14:32,H
PP51,2,reefer,incomplete,3/22/2016 15:40,A
PP51,2,reefer,incomplete,3/22/2016 16:48,B
PP51,2,reefer,incomplete,3/22/2016 17:56,D
PP51,2,reefer,incomplete,3/22/2016 19:04,E
PP51,2,reefer,incomplete,3/22/2016 20:12,F
PP51,2,reefer,incomplete,3/22/2016 21:20,H
PP52,8,nonreefer,incomplete,3/22/2016 22:28,A
PP52,8,nonreefer,incomplete,3/22/2016 23:36,C
PP52,8,nonreefer,incomplete,3/23/2016 0:44,D
PP52,8,nonreefer,incomplete,3/23/2016 1:52,E
PP52,8,nonreefer,incomplete,3/23/2016 3:00,G
PP52,8,nonreefer,incomplete,3/23/2016 4:08,H
PP53,7,reefer,incomplete,3/23/2016 5:16,A
PP53,7,reefer,incomplete,3/23/2016 6:24,C
PP53,7,reefer,incomplete,3/23/2016 7:32,D
PP53,7,reefer,incomplete,3/23/2016 8:40,E
PP53,7,reefer,incomplete,3/23/2016 9:48,G
PP53,7,reefer,incomplete,3/23/2016 10:56,H
PP54,23,nonreefer,incomplete,3/23/2016 12:04,A
PP54,23,nonreefer,incomplete,3/23/2016 13:12,C
PP54,23,nonreefer,incomplete,3/23/2016 14:20,D
PP54,23,nonreefer,incomplete,3/23/2016 15:28,E
PP54,23,nonreefer,incomplete,3/23/2016 16:36,G
PP54,23,nonreefer,incomplete,3/23/2016 17:44,H
PP55,32,nonreefer,complete,3/23/2016 18:52,A
PP55,32,nonreefer,complete,3/23/2016 20:00,B
PP55,32,nonreefer,complete,3/23/2016 21:08,D
PP55,32,nonreefer,complete,3/23/2016 22:16,E
PP55,32,nonreefer,complete,3/23/2016 23:24,F
PP55,32,nonreefer,complete,3/24/2016 0:32,H
PP56,6,reefer,incomplete,3/24/2016 1:40,A
PP56,6,reefer,incomplete,3/24/2016 2:48,B
PP56,6,reefer,incomplete,3/24/2016 3:56,D
PP56,6,reefer,incomplete,3/24/2016 5:04,E
PP56,6,reefer,incomplete,3/24/2016 6:12,F
PP56,6,reefer,incomplete,3/24/2016 7:20,H
PP57,14,reefer,incomplete,3/24/2016 8:28,A
PP57,14,reefer,incomplete,3/24/2016 9:36,C
PP57,14,reefer,incomplete,3/24/2016 10:44,D
PP57,14,reefer,incomplete,3/24/2016 11:52,E
PP57,14,reefer,incomplete,3/24/2016 13:00,G
PP57,14,reefer,incomplete,3/24/2016 14:08,H
PP58,5,reefer,incomplete,3/24/2016 15:16,A
PP58,5,reefer,incomplete,3/24/2016 16:24,C
PP58,5,reefer,incomplete,3/24/2016 17:32,D
PP58,5,reefer,incomplete,3/24/2016 18:40,E
PP58,5,reefer,incomplete,3/24/2016 19:48,G
PP58,5,reefer,incomplete,3/24/2016 20:56,H
PP59,11,reefer,complete,3/24/2016 22:04,A
PP59,11,reefer,complete,3/24/2016 23:12,B
PP59,11,reefer,complete,3/25/2016 0:20,D
PP59,11,reefer,complete,3/25/2016 1:28,E
PP59,11,reefer,complete,3/25/2016 2:36,G
PP59,11,reefer,complete,3/25/2016 3:44,H
PP60,9,nonreefer,complete,3/25/2016 4:52,A
PP60,9,nonreefer,complete,3/25/2016 6:00,B
PP60,9,nonreefer,complete,3/25/2016 7:08,D
PP60,9,nonreefer,complete,3/25/2016 8:16,E
PP60,9,nonreefer,complete,3/25/2016 9:24,F
PP60,9,nonreefer,complete,3/25/2016 10:32,H
PP61,29,reefer,complete,3/25/2016 11:40,A
PP61,29,reefer,complete,3/25/2016 12:48,B
PP61,29,reefer,complete,3/25/2016 13:56,D
PP61,29,reefer,complete,3/25/2016 15:04,E
PP61,29,reefer,complete,3/25/2016 16:12,F
PP61,29,reefer,complete,3/25/2016 17:20,H
PP62,23,reefer,incomplete,3/25/2016 18:28,A
PP62,23,reefer,incomplete,3/25/2016 19:36,B
PP62,23,reefer,incomplete,3/25/2016 20:44,D
PP62,23,reefer,incomplete,3/25/2016 21:52,E
PP62,23,reefer,incomplete,3/25/2016 23:00,F
PP62,23,reefer,incomplete,3/26/2016 0:08,H
PP63,16,reefer,incomplete,3/26/2016 1:16,A
PP63,16,reefer,incomplete,3/26/2016 2:24,C
PP63,16,reefer,incomplete,3/26/2016 3:32,D
PP63,16,reefer,incomplete,3/26/2016 4:40,E
PP63,16,reefer,incomplete,3/26/2016 5:48,G
PP63,16,reefer,incomplete,3/26/2016 6:56,H
PP64,22,nonreefer,complete,3/26/2016 8:04,A
PP64,22,nonreefer,complete,3/26/2016 9:12,C
PP64,22,nonreefer,complete,3/26/2016 10:20,D
PP64,22,nonreefer,complete,3/26/2016 11:28,E
PP64,22,nonreefer,complete,3/26/2016 12:36,F
PP64,22,nonreefer,complete,3/26/2016 13:44,H
PP65,30,nonreefer,incomplete,3/26/2016 14:52,A
PP65,30,nonreefer,incomplete,3/26/2016 16:00,B
PP65,30,nonreefer,incomplete,3/26/2016 17:08,D
PP65,30,nonreefer,incomplete,3/26/2016 18:16,E
PP65,30,nonreefer,incomplete,3/26/2016 19:24,G
PP65,30,nonreefer,incomplete,3/26/2016 20:32,H
PP66,8,reefer,incomplete,3/26/2016 21:40,A
PP66,8,reefer,incomplete,3/26/2016 22:48,B
PP66,8,reefer,incomplete,3/26/2016 23:56,D
PP66,8,reefer,incomplete,3/27/2016 1:04,E
PP66,8,reefer,incomplete,3/27/2016 2:12,F
PP66,8,reefer,incomplete,3/27/2016 3:20,H
PP67,5,nonreefer,incomplete,3/27/2016 4:28,A
PP67,5,nonreefer,incomplete,3/27/2016 5:36,B
PP67,5,nonreefer,incomplete,3/27/2016 6:44,D
PP67,5,nonreefer,incomplete,3/27/2016 7:52,E
PP67,5,nonreefer,incomplete,3/27/2016 9:00,F
PP67,5,nonreefer,incomplete,3/27/2016 10:08,H
PP68,2,reefer,incomplete,3/27/2016 11:16,A
PP68,2,reefer,incomplete,3/27/2016 12:24,B
PP68,2,reefer,incomplete,3/27/2016 13:32,D
PP68,2,reefer,incomplete,3/27/2016 14:40,E
PP68,2,reefer,incomplete,3/27/2016 15:48,F
PP68,2,reefer,incomplete,3/27/2016 16:56,H
PP69,2,reefer,incomplete,3/27/2016 18:04,A
PP69,2,reefer,incomplete,3/27/2016 19:12,B
PP69,2,reefer,incomplete,3/27/2016 20:20,D
PP69,2,reefer,incomplete,3/27/2016 21:28,E
PP69,2,reefer,incomplete,3/27/2016 22:36,F
PP69,2,reefer,incomplete,3/27/2016 23:44,H
PP70,7,nonreefer,incomplete,3/28/2016 0:52,A
PP70,7,nonreefer,incomplete,3/28/2016 2:00,B
PP70,7,nonreefer,incomplete,3/28/2016 3:08,D
PP70,7,nonreefer,incomplete,3/28/2016 4:16,E
PP70,7,nonreefer,incomplete,3/28/2016 5:24,F
PP70,7,nonreefer,incomplete,3/28/2016 6:32,H
PP71,20,nonreefer,complete,3/28/2016 7:40,A
PP71,20,nonreefer,complete,3/28/2016 8:48,C
PP71,20,nonreefer,complete,3/28/2016 9:56,D
PP71,20,nonreefer,complete,3/28/2016 11:04,E
PP71,20,nonreefer,complete,3/28/2016 12:12,G
PP71,20,nonreefer,complete,3/28/2016 13:20,H
PP72,8,reefer,incomplete,3/28/2016 14:28,A
PP72,8,reefer,incomplete,3/28/2016 15:36,B
PP72,8,reefer,incomplete,3/28/2016 16:44,D
PP72,8,reefer,incomplete,3/28/2016 17:52,E
PP72,8,reefer,incomplete,3/28/2016 19:00,F
PP72,8,reefer,incomplete,3/28/2016 20:08,H
PP73,12,nonreefer,complete,3/28/2016 21:16,A
PP73,12,nonreefer,complete,3/28/2016 22:24,C
PP73,12,nonreefer,complete,3/28/2016 23:32,D
PP73,12,nonreefer,complete,3/29/2016 0:40,E
PP73,12,nonreefer,complete,3/29/2016 1:48,G
PP73,12,nonreefer,complete,3/29/2016 2:56,H
PP74,33,nonreefer,incomplete,3/29/2016 4:04,A
PP74,33,nonreefer,incomplete,3/29/2016 5:12,C
PP74,33,nonreefer,incomplete,3/29/2016 6:20,D
PP74,33,nonreefer,incomplete,3/29/2016 7:28,E
PP74,33,nonreefer,incomplete,3/29/2016 8:36,G
PP74,33,nonreefer,incomplete,3/29/2016 9:44,H
PP75,8,nonreefer,incomplete,3/29/2016 10:52,A
PP75,8,nonreefer,incomplete,3/29/2016 12:00,B
PP75,8,nonreefer,incomplete,3/29/2016 13:08,D
PP75,8,nonreefer,incomplete,3/29/2016 14:16,E
PP75,8,nonreefer,incomplete,3/29/2016 15:24,F
PP75,8,nonreefer,incomplete,3/29/2016 16:32,H
PP76,32,nonreefer,complete,3/29/2016 17:40,A
PP76,32,nonreefer,complete,3/29/2016 18:48,C
PP76,32,nonreefer,complete,3/29/2016 19:56,D
PP76,32,nonreefer,complete,3/29/2016 21:04,E
PP76,32,nonreefer,complete,3/29/2016 22:12,F
PP76,32,nonreefer,complete,3/29/2016 23:20,H
PP77,21,reefer,incomplete,3/30/2016 0:28,A
PP77,21,reefer,incomplete,3/30/2016 1:36,C
PP77,21,reefer,incomplete,3/30/2016 2:44,D
PP77,21,reefer,incomplete,3/30/2016 3:52,E
PP77,21,reefer,incomplete,3/30/2016 5:00,G
PP77,21,reefer,incomplete,3/30/2016 6:08,H
PP78,18,nonreefer,complete,3/30/2016 7:16,A
PP78,18,nonreefer,complete,3/30/2016 8:24,B
PP78,18,nonreefer,complete,3/30/2016 9:32,D
PP78,18,nonreefer,complete,3/30/2016 10:40,E
PP78,18,nonreefer,complete,3/30/2016 11:48,F
PP78,18,nonreefer,complete,3/30/2016 12:56,H
PP79,7,nonreefer,incomplete,3/30/2016 14:04,A
PP79,7,nonreefer,incomplete,3/30/2016 15:12,B
PP79,7,nonreefer,incomplete,3/30/2016 16:20,D
PP79,7,nonreefer,incomplete,3/30/2016 17:28,E
PP79,7,nonreefer,incomplete,3/30/2016 18:36,F
PP79,7,nonreefer,incomplete,3/30/2016 19:44,H
PP80,33,reefer,incomplete,3/30/2016 20:52,A
PP80,33,reefer,incomplete,3/30/2016 22:00,C
PP80,33,reefer,incomplete,3/30/2016 23:08,D
PP80,33,reefer,incomplete,3/31/2016 0:16,E
PP80,33,reefer,incomplete,3/31/2016 1:24,G
PP80,33,reefer,incomplete,3/31/2016 2:32,H
PP81,3,reefer,incomplete,3/31/2016 3:40,A
PP81,3,reefer,incomplete,3/31/2016 4:48,B
PP81,3,reefer,incomplete,3/31/2016 5:56,D
PP81,3,reefer,incomplete,3/31/2016 7:04,E
PP81,3,reefer,incomplete,3/31/2016 8:12,F
PP81,3,reefer,incomplete,3/31/2016 9:20,H
PP82,5,nonreefer,incomplete,3/31/2016 10:28,A
PP82,5,nonreefer,incomplete,3/31/2016 11:36,C
PP82,5,nonreefer,incomplete,3/31/2016 12:44,D
PP82,5,nonreefer,incomplete,3/31/2016 13:52,E
PP82,5,nonreefer,incomplete,3/31/2016 15:00,G
PP82,5,nonreefer,incomplete,3/31/2016 16:08,H
PP83,8,reefer,complete,3/31/2016 17:16,A
PP83,8,reefer,complete,3/31/2016 18:24,C
PP83,8,reefer,complete,3/31/2016 19:32,D
